binary_name,project,algorithm_label,architecture,optimization_level,compiler,compiler_version,build_type,build_system,binary_type,crypto_library,aes_constant,aes_constant_count,aes_symbol,arithmetic_count,basic_block_count_estimate,binary_size,blowfish_constant_count,branch_count,call_count,call_graph_fanout_estimate,cfg_edge_count_estimate,chacha20_constant_count,chacha_symbol,compiler_hints,cyclomatic_complexity_estimate,des_symbol,ecc_curve_p_256,ecc_curve_p_384,ecc_curve_p_521,ecc_curve_secp256k1,ecc_symbol,entropy,entry_point,executable_section_ratio,export_count,function_count,import_count,import_libraries,instruction_count,instruction_entropy,jump_count,known_crypto_library,logical_count,md5_constant,md5_constant_count,memory_count,opcode_bigram_entropy,opcode_bigram_unique_ratio,opcode_trigram_entropy,opcode_trigram_unique_ratio,optimization_hints,readonly_section_ratio,return_count,rsa_exponent_present,rsa_symbol,section_count,segment_count,sha1_constant,sha1_constant_count,sha224_constant_count,sha256_constant_count,sha384_constant_count,sha512_constant_count,sha_constant,sha_symbol,string_count,symbol_count,unique_opcode_ratio,writable_section_ratio
pwhash_argon2id__gcc_O2_release.o,libsodium,Argon2,x86_64,O2,gcc,gcc (cached build),release,direct_compile,object,libsodium,False,0,False,16.0,35.0,5176,0,34.0,12.0,0.4,34.0,0,False,GCC: (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,1.0,False,False,False,False,False,False,4.073814,0,,21,30,0,,241.0,3.78471,22.0,False,11.0,False,0,98.0,5.373749,0.325,6.211592,0.514644,likely_release_or_stripped,,21.0,False,False,14,0,False,0,0,0,0,0,False,False,48,30,0.103734,
argon2-fill-block-ref__gcc_O0_debug.o,libsodium,Argon2,x86_64,O0,gcc,gcc (cached build),debug,direct_compile,object,libsodium,False,0,False,917.0,335.0,34672,0,334.0,282.0,20.142857,334.0,0,False,GCC: (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,1.0,False,False,False,False,False,False,5.379541,0,,1,14,0,,5332.0,2.054656,52.0,False,532.0,False,0,3493.0,3.617197,0.018195,4.751517,0.035647,likely_debug_or_unoptimized,,10.0,False,False,22,0,False,0,0,0,0,0,False,False,144,14,0.005626,
argon2-fill-block-ssse3__gcc_O2_debug.o,libsodium,Argon2,x86_64,O2,gcc,gcc (cached build),debug,direct_compile,object,libsodium,False,0,False,,,3088,0,,,,,0,False,GCC: (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,,False,False,False,False,False,False,3.157979,0,,0,1,0,,,,,False,,False,0,,,,,,likely_debug_or_unoptimized,,,False,False,19,0,False,0,0,0,0,0,False,False,34,1,,
argon2-fill-block-wasm32__gcc_O1_release.o,libsodium,Argon2,x86_64,O1,gcc,gcc (cached build),release,direct_compile,object,libsodium,False,0,False,,,952,0,,,,,0,False,GCC: (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,,False,False,False,False,False,False,2.111605,0,,0,1,0,,,,,False,,False,0,,,,,,likely_release_or_stripped,,,False,False,10,0,False,0,0,0,0,0,False,False,11,1,,
argon2__gcc_O3_release.o,libsodium,Argon2,x86_64,O3,gcc,gcc (cached build),release,direct_compile,object,libsodium,False,0,False,27.0,157.0,7904,0,156.0,68.0,2.833333,156.0,0,False,GCC: (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,1.0,False,False,False,False,False,False,4.604454,0,,9,24,0,,748.0,3.048495,88.0,False,11.0,False,0,449.0,4.683696,0.104418,5.70514,0.182306,likely_release_or_stripped,,7.0,False,False,13,0,False,0,0,0,0,0,False,False,92,24,0.03877,
argon2-core__gcc_O3_debug.o,libsodium,Argon2,x86_64,O3,gcc,gcc (cached build),debug,direct_compile,object,libsodium,False,0,False,37.0,107.0,36888,0,106.0,41.0,2.05,106.0,0,False,GCC: (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,1.0,False,False,False,False,False,False,4.710023,0,,5,20,0,,839.0,4.34647,65.0,False,31.0,False,0,376.0,6.441918,0.23389,7.679099,0.438471,likely_debug_or_unoptimized,,20.0,False,False,28,0,False,0,0,0,0,0,False,False,240,20,0.05006,
argon2-fill-block-avx512f__clang_O1_release.o,libsodium,Argon2,x86_64,O1,clang,clang (cached build),release,direct_compile,object,libsodium,False,0,False,,,696,0,,,,,0,False,Ubuntu clang version 18.1.3 (1ubuntu1),,False,False,False,False,False,False,2.198628,0,,0,1,0,,,,,False,,False,0,,,,,,likely_release_or_stripped,,,False,False,7,0,False,0,0,0,0,0,False,False,8,1,,
argon2-fill-block-ref__clang_O0_release.o,libsodium,Argon2,x86_64,O0,clang,clang (cached build),release,direct_compile,object,libsodium,False,0,False,784.0,373.0,23536,0,372.0,279.0,21.461538,372.0,0,False,Ubuntu clang version 18.1.3 (1ubuntu1),1.0,False,False,False,False,False,False,4.955891,0,,1,13,0,,5015.0,2.079453,93.0,False,931.0,False,0,2874.0,3.287079,0.018349,4.087249,0.037303,likely_release_or_stripped,,10.0,False,False,10,0,False,0,0,0,0,0,False,False,24,13,0.005583,
argon2-fill-block-avx2__clang_O1_release.o,libsodium,Argon2,x86_64,O1,clang,clang (cached build),release,direct_compile,object,libsodium,False,0,False,,,688,0,,,,,0,False,Ubuntu clang version 18.1.3 (1ubuntu1),,False,False,False,False,False,False,2.178943,0,,0,1,0,,,,,False,,False,0,,,,,,likely_release_or_stripped,,,False,False,7,0,False,0,0,0,0,0,False,False,8,1,,
argon2-fill-block-wasm32__gcc_O3_debug.o,libsodium,Argon2,x86_64,O3,gcc,gcc (cached build),debug,direct_compile,object,libsodium,False,0,False,,,3088,0,,,,,0,False,GCC: (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,,False,False,False,False,False,False,3.16679,0,,0,1,0,,,,,False,,False,0,,,,,,likely_debug_or_unoptimized,,,False,False,19,0,False,0,0,0,0,0,False,False,34,1,,
